Time (ns)	Amplitude (V)
-2.522254e-01	8.774400e-05
-2.511831e-01	8.779400e-05
-2.501409e-01	8.773000e-05
-2.490986e-01	8.777600e-05
-2.480564e-01	8.783000e-05
-2.470141e-01	8.790400e-05
-2.459719e-01	8.798800e-05
-2.449296e-01	8.804800e-05
-2.438874e-01	8.800200e-05
-2.428451e-01	8.806100e-05
-2.418029e-01	8.801400e-05
-2.407606e-01	8.804800e-05
-2.397184e-01	8.819800e-05
-2.386761e-01	8.825400e-05
-2.376339e-01	8.830200e-05
-2.365916e-01	8.822500e-05
-2.355493e-01	8.821600e-05
-2.345071e-01	8.819400e-05
-2.334648e-01	8.827500e-05
-2.324226e-01	8.824300e-05
-2.313803e-01	8.822800e-05
-2.303381e-01	8.817200e-05
-2.292958e-01	8.815300e-05
-2.282536e-01	8.821900e-05
-2.272113e-01	8.825400e-05
-2.261691e-01	8.817700e-05
-2.251268e-01	8.812600e-05
-2.240846e-01	8.811800e-05
-2.230423e-01	8.806000e-05
-2.220000e-01	8.806200e-05
-2.209578e-01	8.809200e-05
-2.199155e-01	8.806300e-05
-2.188733e-01	8.805200e-05
-2.178310e-01	8.802800e-05
-2.167888e-01	8.798000e-05
-2.157465e-01	8.797800e-05
-2.147043e-01	8.794400e-05
-2.136620e-01	8.803900e-05
-2.126198e-01	8.802200e-05
-2.115775e-01	8.810400e-05
-2.105353e-01	8.805000e-05
-2.094930e-01	8.810400e-05
-2.084508e-01	8.804500e-05
-2.074085e-01	8.803900e-05
-2.063662e-01	8.808100e-05
-2.053240e-01	8.817600e-05
-2.042817e-01	8.812200e-05
-2.032395e-01	8.815900e-05
-2.021972e-01	8.814300e-05
-2.011550e-01	8.809000e-05
-2.001127e-01	8.808700e-05
-1.990705e-01	8.798500e-05
-1.980282e-01	8.799100e-05
-1.969860e-01	8.797700e-05
-1.959437e-01	8.794100e-05
-1.949015e-01	8.795200e-05
-1.938592e-01	8.802500e-05
-1.928169e-01	8.800800e-05
-1.917747e-01	8.792100e-05
-1.907324e-01	8.787000e-05
-1.896902e-01	8.786600e-05
-1.886479e-01	8.793500e-05
-1.876057e-01	8.801400e-05
-1.865634e-01	8.799400e-05
-1.855212e-01	8.803200e-05
-1.844789e-01	8.799200e-05
-1.834367e-01	8.802100e-05
-1.823944e-01	8.796800e-05
-1.813522e-01	8.791000e-05
-1.803099e-01	8.794900e-05
-1.792677e-01	8.793500e-05
-1.782254e-01	8.796900e-05
-1.771831e-01	8.798100e-05
-1.761409e-01	8.795000e-05
-1.750986e-01	8.790800e-05
-1.740564e-01	8.779700e-05
-1.730141e-01	8.786500e-05
-1.719719e-01	8.786800e-05
-1.709296e-01	8.786800e-05
-1.698874e-01	8.776900e-05
-1.688451e-01	8.773100e-05
-1.678029e-01	8.781700e-05
-1.667606e-01	8.782200e-05
-1.657184e-01	8.782800e-05
-1.646761e-01	8.776800e-05
-1.636339e-01	8.782000e-05
-1.625916e-01	8.781700e-05
-1.615493e-01	8.777300e-05
-1.605071e-01	8.765300e-05
-1.594648e-01	8.764100e-05
-1.584226e-01	8.762300e-05
-1.573803e-01	8.767000e-05
-1.563381e-01	8.758600e-05
-1.552958e-01	8.760000e-05
-1.542536e-01	8.751900e-05
-1.532113e-01	8.750300e-05
-1.521691e-01	8.743100e-05
-1.511268e-01	8.756500e-05
-1.500846e-01	8.755300e-05
-1.490423e-01	8.765000e-05
-1.480000e-01	8.769800e-05
-1.469578e-01	8.762900e-05
-1.459155e-01	8.762500e-05
-1.448733e-01	8.762000e-05
-1.438310e-01	8.751300e-05
-1.427888e-01	8.747300e-05
-1.417465e-01	8.751100e-05
-1.407043e-01	8.754700e-05
-1.396620e-01	8.761300e-05
-1.386198e-01	8.763700e-05
-1.375775e-01	8.764600e-05
-1.365353e-01	8.761800e-05
-1.354930e-01	8.769500e-05
-1.344508e-01	8.775300e-05
-1.334085e-01	8.763700e-05
-1.323662e-01	8.774600e-05
-1.313240e-01	8.767200e-05
-1.302817e-01	8.756500e-05
-1.292395e-01	8.753500e-05
-1.281972e-01	8.758500e-05
-1.271550e-01	8.761500e-05
-1.261127e-01	8.767200e-05
-1.250705e-01	8.761300e-05
-1.240282e-01	8.759400e-05
-1.229860e-01	8.758100e-05
-1.219437e-01	8.750300e-05
-1.209015e-01	8.758400e-05
-1.198592e-01	8.759300e-05
-1.188169e-01	8.757100e-05
-1.177747e-01	8.754700e-05
-1.167324e-01	8.774300e-05
-1.156902e-01	8.762100e-05
-1.146479e-01	8.755500e-05
-1.136057e-01	8.753300e-05
-1.125634e-01	8.751400e-05
-1.115212e-01	8.742900e-05
-1.104789e-01	8.748100e-05
-1.094367e-01	8.752600e-05
-1.083944e-01	8.752800e-05
-1.073522e-01	8.757700e-05
-1.063099e-01	8.752800e-05
-1.052677e-01	8.750600e-05
-1.042254e-01	8.741600e-05
-1.031831e-01	8.741600e-05
-1.021409e-01	8.738500e-05
-1.010986e-01	8.744400e-05
-1.000564e-01	8.745800e-05
-9.901410e-02	8.745600e-05
-9.797190e-02	8.748000e-05
-9.692960e-02	8.751200e-05
-9.588740e-02	8.755700e-05
-9.484510e-02	8.762900e-05
-9.380290e-02	8.755400e-05
-9.276060e-02	8.754000e-05
-9.171840e-02	8.757000e-05
-9.067610e-02	8.755800e-05
-8.963390e-02	8.749100e-05
-8.859160e-02	8.745400e-05
-8.754930e-02	8.754100e-05
-8.650710e-02	8.750000e-05
-8.546480e-02	8.738700e-05
-8.442260e-02	8.728100e-05
-8.338030e-02	8.720900e-05
-8.233810e-02	8.726600e-05
-8.129580e-02	8.731600e-05
-8.025360e-02	8.731400e-05
-7.921130e-02	8.732900e-05
-7.816910e-02	8.731000e-05
-7.712680e-02	8.730500e-05
-7.608460e-02	8.736400e-05
-7.504230e-02	8.736800e-05
-7.400000e-02	8.737400e-05
-7.295780e-02	8.734200e-05
-7.191550e-02	8.729400e-05
-7.087330e-02	8.734800e-05
-6.983100e-02	8.734700e-05
-6.878880e-02	8.744100e-05
-6.774650e-02	8.732900e-05
-6.670430e-02	8.734100e-05
-6.566200e-02	8.735800e-05
-6.461980e-02	8.734600e-05
-6.357750e-02	8.722000e-05
-6.253530e-02	8.720100e-05
-6.149300e-02	8.719600e-05
-6.045080e-02	8.706900e-05
-5.940850e-02	8.711100e-05
-5.836620e-02	8.707600e-05
-5.732400e-02	8.706400e-05
-5.628170e-02	8.701000e-05
-5.523950e-02	8.713800e-05
-5.419720e-02	8.712700e-05
-5.315500e-02	8.705500e-05
-5.211270e-02	8.706000e-05
-5.107050e-02	8.713400e-05
-5.002820e-02	8.721600e-05
-4.898600e-02	8.724200e-05
-4.794370e-02	8.725900e-05
-4.690150e-02	8.726700e-05
-4.585920e-02	8.714800e-05
-4.481690e-02	8.711400e-05
-4.377470e-02	8.704800e-05
-4.273240e-02	8.699500e-05
-4.169020e-02	8.704900e-05
-4.064790e-02	8.687000e-05
-3.960570e-02	8.686700e-05
-3.856340e-02	8.680500e-05
-3.752120e-02	8.678700e-05
-3.647890e-02	8.675400e-05
-3.543670e-02	8.674300e-05
-3.439440e-02	8.685800e-05
-3.335220e-02	8.679000e-05
-3.230990e-02	8.680100e-05
-3.126770e-02	8.681200e-05
-3.022540e-02	8.687300e-05
-2.918310e-02	8.693300e-05
-2.814090e-02	8.685700e-05
-2.709860e-02	8.686800e-05
-2.605640e-02	8.682900e-05
-2.501410e-02	8.681100e-05
-2.397190e-02	8.679700e-05
-2.292960e-02	8.682200e-05
-2.188740e-02	8.687200e-05
-2.084510e-02	8.695600e-05
-1.980290e-02	8.707000e-05
-1.876060e-02	8.704600e-05
-1.771840e-02	8.700300e-05
-1.667610e-02	8.710000e-05
-1.563390e-02	8.705100e-05
-1.459160e-02	8.703700e-05
-1.354930e-02	8.704600e-05
-1.250710e-02	8.713500e-05
-1.146480e-02	8.704100e-05
-1.042260e-02	8.701500e-05
-9.380300e-03	8.695800e-05
-8.338100e-03	8.689500e-05
-7.295800e-03	8.690200e-05
-6.253600e-03	8.697800e-05
-5.211300e-03	8.703700e-05
-4.169100e-03	8.703200e-05
-3.126800e-03	8.703800e-05
-2.084600e-03	8.693900e-05
-1.042300e-03	8.692700e-05
0.000000e+00	8.690800e-05
1.042200e-03	8.701800e-05
2.084500e-03	8.711900e-05
3.126700e-03	8.723400e-05
4.169000e-03	8.734100e-05
5.211200e-03	8.742600e-05
6.253500e-03	8.741100e-05
7.295700e-03	8.747500e-05
8.338000e-03	8.782900e-05
9.380200e-03	8.911100e-05
1.042250e-02	9.230700e-05
1.146470e-02	9.760400e-05
1.250700e-02	1.027100e-04
1.354920e-02	2.042400e-04
1.459150e-02	1.972465e-04
1.563380e-02	1.899768e-04
1.667600e-02	1.840343e-04
1.771830e-02	1.791239e-04
1.876050e-02	1.748890e-04
1.980280e-02	1.711119e-04
2.084500e-02	1.676104e-04
2.188730e-02	1.643585e-04
2.292950e-02	1.612754e-04
2.397180e-02	1.583074e-04
2.501400e-02	1.556173e-04
2.605630e-02	1.529278e-04
2.709850e-02	1.504610e-04
2.814080e-02	1.480161e-04
2.918310e-02	1.456151e-04
3.022530e-02	1.431813e-04
3.126760e-02	1.410236e-04
3.230980e-02	1.387466e-04
3.335210e-02	1.365265e-04
3.439430e-02	1.345084e-04
3.543660e-02	1.326825e-04
3.647880e-02	1.309923e-04
3.752110e-02	1.293423e-04
3.856330e-02	1.277592e-04
3.960560e-02	1.263008e-04
4.064780e-02	1.249189e-04
4.169010e-02	1.235666e-04
4.273230e-02	1.222149e-04
4.377460e-02	1.209781e-04
4.481690e-02	1.195772e-04
4.585910e-02	1.183622e-04
4.690140e-02	1.170978e-04
4.794360e-02	1.158783e-04
4.898590e-02	1.147457e-04
5.002810e-02	1.137242e-04
5.107040e-02	1.128101e-04
5.211260e-02	1.119928e-04
5.315490e-02	1.111886e-04
5.419710e-02	1.103511e-04
5.523940e-02	1.095758e-04
5.628160e-02	1.087463e-04
5.732390e-02	1.080462e-04
5.836610e-02	1.072084e-04
5.940840e-02	1.064534e-04
6.045070e-02	1.057622e-04
6.149290e-02	1.049647e-04
6.253520e-02	1.042657e-04
6.357740e-02	1.036593e-04
6.461970e-02	1.029703e-04
6.566190e-02	1.024248e-04
6.670420e-02	1.018840e-04
6.774640e-02	1.015609e-04
6.878870e-02	1.011797e-04
6.983090e-02	1.008566e-04
7.087320e-02	1.005307e-04
7.191540e-02	1.001035e-04
7.295770e-02	9.957099e-05
7.400000e-02	9.912668e-05
7.504220e-02	9.866389e-05
7.608450e-02	9.817992e-05
7.712670e-02	9.773723e-05
7.816900e-02	9.731918e-05
7.921120e-02	9.701626e-05
8.025350e-02	9.672089e-05
8.129570e-02	9.651461e-05
8.233800e-02	9.631387e-05
8.338020e-02	9.622325e-05
8.442250e-02	9.607325e-05
8.546470e-02	9.590248e-05
8.650700e-02	9.569748e-05
8.754920e-02	9.540489e-05
8.859150e-02	9.507029e-05
8.963380e-02	9.461633e-05
9.067600e-02	9.433467e-05
9.171830e-02	9.401595e-05
9.276050e-02	9.384987e-05
9.380280e-02	9.373708e-05
9.484500e-02	9.359432e-05
9.588730e-02	9.354728e-05
9.692950e-02	9.343870e-05
9.797180e-02	9.330630e-05
9.901400e-02	9.340185e-05
1.000563e-01	9.327408e-05
1.010985e-01	9.307279e-05
1.021408e-01	9.277372e-05
1.031831e-01	9.261568e-05
1.042253e-01	9.224347e-05
1.052676e-01	9.191087e-05
1.063098e-01	9.184971e-05
1.073521e-01	9.179580e-05
1.083943e-01	9.174698e-05
1.094366e-01	9.176506e-05
1.104788e-01	9.179891e-05
1.115211e-01	9.179434e-05
1.125633e-01	9.182424e-05
1.136056e-01	9.169244e-05
1.146478e-01	9.155482e-05
1.156901e-01	9.132624e-05
1.167323e-01	9.117560e-05
1.177746e-01	9.096975e-05
1.188169e-01	9.070059e-05
1.198591e-01	9.066701e-05
1.209014e-01	9.061290e-05
1.219436e-01	9.054017e-05
1.229859e-01	9.054871e-05
1.240281e-01	9.061944e-05
1.250704e-01	9.067426e-05
1.261126e-01	9.077609e-05
1.271549e-01	9.073784e-05
1.281971e-01	9.079944e-05
1.292394e-01	9.073081e-05
1.302816e-01	9.056589e-05
1.313239e-01	9.034159e-05
1.323661e-01	9.014386e-05
1.334084e-01	8.997662e-05
1.344507e-01	8.992183e-05
1.354929e-01	8.987941e-05
1.365352e-01	9.002332e-05
1.375774e-01	9.019750e-05
1.386197e-01	9.026790e-05
1.396619e-01	9.035746e-05
1.407042e-01	9.031715e-05
1.417464e-01	9.033191e-05
1.427887e-01	9.018970e-05
1.438309e-01	9.008648e-05
1.448732e-01	8.990720e-05
1.459154e-01	8.980884e-05
1.469577e-01	8.969935e-05
1.480000e-01	8.951969e-05
1.490422e-01	8.951784e-05
1.500845e-01	8.941376e-05
1.511267e-01	8.953141e-05
1.521690e-01	8.973978e-05
1.532112e-01	8.975882e-05
1.542535e-01	8.987951e-05
1.552957e-01	8.982383e-05
1.563380e-01	8.979075e-05
1.573802e-01	8.973225e-05
1.584225e-01	8.957329e-05
1.594647e-01	8.948887e-05
1.605070e-01	8.945595e-05
1.615492e-01	8.932952e-05
1.625915e-01	8.919456e-05
1.636338e-01	8.915904e-05
1.646760e-01	8.923195e-05
1.657183e-01	8.926228e-05
1.667605e-01	8.923600e-05
1.678028e-01	8.926809e-05
1.688450e-01	8.931956e-05
1.698873e-01	8.935037e-05
1.709295e-01	8.936451e-05
1.719718e-01	8.934098e-05
1.730140e-01	8.926575e-05
1.740563e-01	8.918082e-05
1.750985e-01	8.901417e-05
1.761408e-01	8.901779e-05
1.771831e-01	8.894668e-05
1.782253e-01	8.888881e-05
1.792676e-01	8.884218e-05
1.803098e-01	8.905479e-05
1.813521e-01	8.912261e-05
1.823943e-01	8.919664e-05
1.834366e-01	8.921588e-05
1.844788e-01	8.923531e-05
1.855211e-01	8.924793e-05
1.865633e-01	8.915673e-05
1.876056e-01	8.910170e-05
1.886478e-01	8.901483e-05
1.896901e-01	8.888512e-05
1.907323e-01	8.882356e-05
1.917746e-01	8.886315e-05
1.928169e-01	8.884788e-05
1.938591e-01	8.888774e-05
1.949014e-01	8.896173e-05
1.959436e-01	8.904784e-05
1.969859e-01	8.912607e-05
1.980281e-01	8.913141e-05
1.990704e-01	8.910786e-05
2.001126e-01	8.909442e-05
2.011549e-01	8.906408e-05
2.021971e-01	8.899283e-05
2.032394e-01	8.890667e-05
2.042816e-01	8.891260e-05
2.053239e-01	8.883062e-05
2.063661e-01	8.883171e-05
2.074084e-01	8.870789e-05
2.084507e-01	8.884214e-05
2.094929e-01	8.903746e-05
2.105352e-01	8.904284e-05
2.115774e-01	8.901630e-05
2.126197e-01	8.906782e-05
2.136619e-01	8.910940e-05
2.147042e-01	8.897503e-05
2.157464e-01	8.898172e-05
2.167887e-01	8.890247e-05
2.178309e-01	8.879927e-05
2.188732e-01	8.877011e-05
2.199154e-01	8.872100e-05
2.209577e-01	8.885694e-05
2.220000e-01	8.890692e-05
2.230422e-01	8.894795e-05
2.240845e-01	8.896301e-05
2.251267e-01	8.913711e-05
2.261690e-01	8.924425e-05
2.272112e-01	8.931442e-05
2.282535e-01	8.916863e-05
2.292957e-01	8.903587e-05
2.303380e-01	8.899214e-05
2.313802e-01	8.880144e-05
2.324225e-01	8.862677e-05
2.334647e-01	8.854212e-05
2.345070e-01	8.859751e-05
2.355492e-01	8.864991e-05
2.365915e-01	8.864835e-05
2.376338e-01	8.877780e-05
2.386760e-01	8.884828e-05
2.397183e-01	8.888878e-05
2.407605e-01	8.899330e-05
2.418028e-01	8.891683e-05
2.428450e-01	8.894839e-05
2.438873e-01	8.880697e-05
2.449295e-01	8.878056e-05
2.459718e-01	8.877117e-05
2.470140e-01	8.864380e-05
2.480563e-01	8.848944e-05
2.490985e-01	8.853409e-05
2.501408e-01	8.853976e-05
2.511831e-01	8.871445e-05
2.522253e-01	8.874614e-05
2.532676e-01	8.889185e-05
2.543098e-01	8.900957e-05
2.553521e-01	8.906230e-05
2.563943e-01	8.890204e-05
2.574366e-01	8.873880e-05
2.584788e-01	8.862756e-05
2.595211e-01	8.838833e-05
2.605633e-01	8.834312e-05
2.616056e-01	8.836391e-05
2.626478e-01	8.839271e-05
2.636901e-01	8.837551e-05
2.647323e-01	8.842233e-05
2.657746e-01	8.852615e-05
2.668169e-01	8.865698e-05
2.678591e-01	8.886282e-05
2.689014e-01	8.895467e-05
2.699436e-01	8.887652e-05
2.709859e-01	8.882337e-05
2.720281e-01	8.875423e-05
2.730704e-01	8.862110e-05
2.741126e-01	8.856298e-05
2.751549e-01	8.852385e-05
2.761971e-01	8.845574e-05
2.772394e-01	8.843263e-05
2.782816e-01	8.850852e-05
2.793239e-01	8.845442e-05
2.803661e-01	8.851132e-05
2.814084e-01	8.861622e-05
2.824507e-01	8.872613e-05
2.834929e-01	8.870204e-05
2.845352e-01	8.864896e-05
2.855774e-01	8.868988e-05
2.866197e-01	8.867480e-05
2.876619e-01	8.856873e-05
2.887042e-01	8.844466e-05
2.897464e-01	8.835459e-05
2.907887e-01	8.829653e-05
2.918309e-01	8.836346e-05
2.928732e-01	8.848740e-05
2.939154e-01	8.866735e-05
2.949577e-01	8.881929e-05
2.960000e-01	8.885524e-05
2.970422e-01	8.888819e-05
2.980845e-01	8.886514e-05
2.991267e-01	8.872309e-05
3.001690e-01	8.865905e-05
3.012112e-01	8.852201e-05
3.022535e-01	8.845097e-05
3.032957e-01	8.838493e-05
3.043380e-01	8.829989e-05
3.053802e-01	8.834285e-05
3.064225e-01	8.844382e-05
3.074647e-01	8.851178e-05
3.085070e-01	8.852875e-05
3.095492e-01	8.866472e-05
3.105915e-01	8.870969e-05
3.116338e-01	8.876166e-05
3.126760e-01	8.872364e-05
3.137183e-01	8.872561e-05
3.147605e-01	8.868059e-05
3.158028e-01	8.854456e-05
3.168450e-01	8.841154e-05
3.178873e-01	8.832752e-05
3.189295e-01	8.822350e-05
3.199718e-01	8.821148e-05
3.210140e-01	8.816346e-05
3.220563e-01	8.812544e-05
3.230985e-01	8.826242e-05
3.241408e-01	8.829540e-05
3.251831e-01	8.836739e-05
3.262253e-01	8.839537e-05
3.272676e-01	8.831935e-05
3.283098e-01	8.834134e-05
3.293521e-01	8.824533e-05
3.303943e-01	8.813731e-05
3.314366e-01	8.808130e-05
3.324788e-01	8.807929e-05
3.335211e-01	8.805328e-05
3.345633e-01	8.809427e-05
3.356056e-01	8.817925e-05
3.366478e-01	8.818624e-05
3.376901e-01	8.821323e-05
3.387323e-01	8.839922e-05
3.397746e-01	8.853522e-05
3.408169e-01	8.852321e-05
3.418591e-01	8.853220e-05
3.429014e-01	8.853119e-05
3.439436e-01	8.840318e-05
3.449859e-01	8.831517e-05
3.460281e-01	8.830717e-05
3.470704e-01	8.826716e-05
3.481126e-01	8.817715e-05
3.491549e-01	8.820515e-05
3.501971e-01	8.824414e-05
3.512394e-01	8.832414e-05
3.522816e-01	8.840613e-05
3.533239e-01	8.848813e-05
3.543661e-01	8.858712e-05
3.554084e-01	8.864812e-05
3.564507e-01	8.871611e-05
3.574929e-01	8.861511e-05
3.585352e-01	8.861510e-05
3.595774e-01	8.851610e-05
3.606197e-01	8.844109e-05
3.616619e-01	8.843309e-05
3.627042e-01	8.832009e-05
3.637464e-01	8.838608e-05
3.647887e-01	8.845508e-05
3.658309e-01	8.865308e-05
3.668732e-01	8.872107e-05
3.679154e-01	8.873107e-05
3.689577e-01	8.883607e-05
3.700000e-01	8.885106e-05
3.710422e-01	8.885506e-05
3.720845e-01	8.867806e-05
3.731267e-01	8.864406e-05
3.741690e-01	8.848605e-05
3.752112e-01	8.844005e-05
3.762535e-01	8.824705e-05
3.772957e-01	8.824505e-05
3.783380e-01	8.842705e-05
3.793802e-01	8.843804e-05
3.804225e-01	8.848104e-05
3.814647e-01	8.840904e-05
3.825070e-01	8.840404e-05
3.835492e-01	8.835404e-05
3.845915e-01	8.838804e-05
3.856338e-01	8.846603e-05
3.866760e-01	8.839203e-05
3.877183e-01	8.835803e-05
3.887605e-01	8.825403e-05
3.898028e-01	8.823403e-05
3.908450e-01	8.827103e-05
3.918873e-01	8.827403e-05
3.929295e-01	8.827603e-05
3.939718e-01	8.835002e-05
3.950140e-01	8.831902e-05
3.960563e-01	8.830102e-05
3.970985e-01	8.837302e-05
3.981408e-01	8.843202e-05
3.991831e-01	8.843602e-05
4.002253e-01	8.847802e-05
4.012676e-01	8.856202e-05
4.023098e-01	8.840002e-05
4.033521e-01	8.840902e-05
4.043943e-01	8.841402e-05
4.054366e-01	8.844702e-05
4.064788e-01	8.836501e-05
4.075211e-01	8.829801e-05
4.085633e-01	8.828501e-05
4.096056e-01	8.830601e-05
4.106478e-01	8.841501e-05
4.116901e-01	8.842301e-05
4.127323e-01	8.840901e-05
4.137746e-01	8.851101e-05
4.148169e-01	8.856601e-05
4.158591e-01	8.856101e-05
4.169014e-01	8.842401e-05
4.179436e-01	8.823501e-05
4.189859e-01	8.819501e-05
4.200281e-01	8.820801e-05
4.210704e-01	8.823301e-05
4.221126e-01	8.822401e-05
4.231549e-01	8.822601e-05
4.241971e-01	8.832401e-05
4.252394e-01	8.836401e-05
4.262816e-01	8.833501e-05
4.273239e-01	8.835501e-05
4.283661e-01	8.826001e-05
4.294084e-01	8.817201e-05
4.304507e-01	8.820801e-05
4.314929e-01	8.828001e-05
4.325352e-01	8.815801e-05
4.335774e-01	8.811001e-05
4.346197e-01	8.816600e-05
4.356619e-01	8.824500e-05
4.367042e-01	8.823400e-05
4.377464e-01	8.828900e-05
4.387887e-01	8.834000e-05
4.398309e-01	8.828800e-05
4.408732e-01	8.824300e-05
4.419154e-01	8.821900e-05
4.429577e-01	8.822100e-05
4.440000e-01	8.827700e-05
4.450422e-01	8.820100e-05
4.460845e-01	8.817700e-05
4.471267e-01	8.823000e-05
4.481690e-01	8.821100e-05
4.492112e-01	8.810400e-05
4.502535e-01	8.813800e-05
4.512957e-01	8.815200e-05
4.523380e-01	8.822600e-05
4.533802e-01	8.823600e-05
4.544225e-01	8.822600e-05
4.554647e-01	8.820700e-05
4.565070e-01	8.836600e-05
4.575492e-01	8.828500e-05
4.585915e-01	8.836100e-05
4.596338e-01	8.823300e-05
