Freq (Hz)	accelerometre /source_source_Mod	accelerometre /source_source_Phase(rad)
10.000000000000018E+0	52.289101366645094E-3	8.540536850567836E+0
11.000000000000020E+0	73.869520222815621E-3	9.431604987402553E+0
12.000000000000021E+0	38.659661286029254E-3	10.814940899379506E+0
13.000000000000023E+0	36.022717208687792E-3	11.805106678524707E+0
14.000000000000025E+0	65.638060850672642E-3	13.988507120190487E+0
15.000000000000027E+0	65.206519216623224E-3	15.624610073498431E+0
16.000000000000028E+0	27.278071530314332E-3	16.494791002364366E+0
17.000000000000028E+0	19.625991022443594E-3	15.482342477050830E+0
18.000000000000028E+0	35.140329485646792E-3	14.472324610846972E+0
19.000000000000028E+0	84.599817820869561E-3	15.450078626549560E+0
20.000000000000028E+0	53.896370371559754E-3	15.081683931072368E+0
21.000000000000028E+0	61.336176876412775E-3	14.878868584241447E+0
22.000000000000028E+0	81.594793937250040E-3	15.001881594044139E+0
23.000000000000028E+0	127.356595100613150E-3	14.987259976201312E+0
24.000000000000028E+0	152.058095028756470E-3	14.558906994166561E+0
25.000000000000028E+0	180.258408309173030E-3	14.423522592504060E+0
26.000000000000028E+0	238.330073504617600E-3	14.104079171975462E+0
27.000000000000028E+0	235.042981759406550E-3	13.747988547262752E+0
28.000000000000028E+0	266.519998431567760E-3	13.614986119480236E+0
29.000000000000028E+0	300.804804072058620E-3	13.183700991811444E+0
30.000000000000028E+0	297.102822457949670E-3	12.755059787551620E+0
31.000000000000028E+0	356.098338676185950E-3	12.331721302461714E+0
32.000000000000028E+0	280.941650224342810E-3	11.880466294857808E+0
33.000000000000028E+0	179.836865047573150E-3	11.300969578865041E+0
34.000000000000028E+0	57.540644254942805E-3	11.581133641373793E+0
35.000000000000028E+0	40.728526519294782E-3	10.235247017388817E+0
36.000000000000028E+0	21.457024373327235E-3	11.748865705451129E+0
37.000000000000028E+0	26.635909731147805E-3	11.685081439923445E+0
38.000000000000028E+0	15.404782225700051E-3	12.993907386832033E+0
39.000000000000028E+0	47.645837728417607E-3	14.051292441119028E+0
40.000000000000028E+0	61.707192232035420E-3	14.151217117492619E+0
41.000000000000028E+0	73.123429082396788E-3	13.747973179237334E+0
42.000000000000028E+0	118.892195922806200E-3	13.469228300336837E+0
43.000000000000028E+0	158.394553468790030E-3	12.749670149028262E+0
44.000000000000028E+0	203.690523152328940E-3	12.283259970041499E+0
45.000000000000028E+0	172.495978511064850E-3	12.032638693119624E+0
46.000000000000028E+0	60.393373802172579E-3	11.978362586520067E+0
47.000000000000028E+0	115.764828426758130E-3	12.910117986039680E+0
48.000000000000028E+0	157.448756335872550E-3	12.939583692666718E+0
49.000000000000028E+0	192.271236317130110E-3	13.464672381894763E+0
50.000000000000028E+0	121.998869885523870E-3	13.369050752686471E+0
51.000000000000028E+0	144.706976039011420E-3	13.143508841639285E+0
52.000000000000028E+0	179.330341520425680E-3	12.911458888754002E+0
53.000000000000028E+0	249.912144298023580E-3	12.829110957890739E+0
54.000000000000028E+0	253.491165513027860E-3	12.792610590587985E+0
55.000000000000028E+0	276.756596326067470E-3	12.732775763527000E+0
56.000000000000028E+0	331.039554187169850E-3	12.658316868644231E+0
57.000000000000028E+0	359.609711618415040E-3	12.356074030973787E+0
58.000000000000028E+0	438.495223667374150E-3	12.047470702489669E+0
59.000000000000028E+0	396.273239276280940E-3	12.125918604986067E+0
60.000000000000028E+0	362.289916323243920E-3	11.951448142049824E+0
61.000000000000028E+0	347.025436031946910E-3	11.739296715465048E+0
62.000000000000028E+0	433.851634285134010E-3	11.496252195301670E+0
63.000000000000028E+0	402.367295933628740E-3	11.451903214925396E+0
64.000000000000028E+0	387.599836768183770E-3	11.295337939728331E+0
65.000000000000028E+0	372.423218849706750E-3	11.194202421172807E+0
66.000000000000028E+0	313.939872975944000E-3	11.109170571949186E+0
67.000000000000028E+0	266.151848737611160E-3	10.810845104826264E+0
68.000000000000028E+0	352.918119925383130E-3	10.833557840148273E+0
69.000000000000028E+0	281.748780826444060E-3	10.765944114975696E+0
70.000000000000028E+0	209.514272216356160E-3	10.614025134767672E+0
71.000000000000028E+0	132.571600261844090E-3	9.924769839335097E+0
72.000000000000028E+0	251.967858482109450E-3	10.034152805178557E+0
73.000000000000028E+0	144.204696999001350E-3	10.595776726451078E+0
