Freq (Hz)	Coh_accelerometre /source
source
source
10.000000000000018E+0	65.167327946891507E-3
11.000000000000020E+0	974.317383658062530E-3
12.000000000000021E+0	927.203137110897750E-3
13.000000000000023E+0	927.450390806736300E-3
14.000000000000025E+0	987.701904712831370E-3
15.000000000000027E+0	984.611299253788320E-3
16.000000000000028E+0	990.453164268144780E-3
17.000000000000028E+0	994.231295210056040E-3
18.000000000000028E+0	978.925123085631180E-3
19.000000000000028E+0	998.465009984450200E-3
20.000000000000028E+0	998.770509034971330E-3
21.000000000000028E+0	995.902614074908880E-3
22.000000000000028E+0	999.392660402730110E-3
23.000000000000028E+0	998.952147288264090E-3
24.000000000000028E+0	999.285881622056340E-3
25.000000000000028E+0	999.276668430275290E-3
26.000000000000028E+0	999.770230181129650E-3
27.000000000000028E+0	999.841417017450110E-3
28.000000000000028E+0	999.808027702093200E-3
29.000000000000028E+0	999.410357043049700E-3
30.000000000000028E+0	998.933503319972330E-3
31.000000000000028E+0	999.678838249381200E-3
32.000000000000028E+0	999.756498218053680E-3
33.000000000000028E+0	999.901019663966380E-3
34.000000000000028E+0	999.506469439849110E-3
35.000000000000028E+0	998.280844544085830E-3
36.000000000000028E+0	997.377088889465520E-3
37.000000000000028E+0	999.719775789408290E-3
38.000000000000028E+0	999.081464710823600E-3
39.000000000000028E+0	998.039557879013330E-3
40.000000000000028E+0	999.833577146314820E-3
41.000000000000028E+0	999.902979723343190E-3
42.000000000000028E+0	999.898328453378230E-3
43.000000000000028E+0	999.757913230515770E-3
44.000000000000028E+0	999.486047536833230E-3
45.000000000000028E+0	999.765598557311510E-3
46.000000000000028E+0	999.865050887267400E-3
47.000000000000028E+0	999.884899422816330E-3
48.000000000000028E+0	999.803440185327630E-3
49.000000000000028E+0	999.788463250474660E-3
50.000000000000028E+0	999.942451361607750E-3
51.000000000000028E+0	999.940551041242130E-3
52.000000000000028E+0	999.714135715246250E-3
53.000000000000028E+0	999.116417551855540E-3
54.000000000000028E+0	999.676443398917810E-3
55.000000000000028E+0	999.838509063642910E-3
56.000000000000028E+0	999.860472667708060E-3
57.000000000000028E+0	999.906725830767890E-3
58.000000000000028E+0	999.692478409640260E-3
59.000000000000028E+0	999.909782938572020E-3
60.000000000000028E+0	999.980057958914090E-3
61.000000000000028E+0	999.958659252358610E-3
62.000000000000028E+0	999.592740350937040E-3
63.000000000000028E+0	999.872784430487550E-3
64.000000000000028E+0	999.845516476293830E-3
65.000000000000028E+0	999.846446706893040E-3
66.000000000000028E+0	999.747040809161320E-3
67.000000000000028E+0	997.234387632766390E-3
68.000000000000028E+0	999.459462856044810E-3
69.000000000000028E+0	999.491658717381100E-3
70.000000000000028E+0	999.421426816610950E-3
71.000000000000028E+0	999.206666400621060E-3
72.000000000000028E+0	998.166591731235560E-3
73.000000000000028E+0	998.692289395069600E-3
74.000000000000028E+0	999.543456193199730E-3
75.000000000000028E+0	999.568966638489600E-3
76.000000000000028E+0	999.388090269433430E-3
77.000000000000028E+0	999.254075976091840E-3
78.000000000000028E+0	999.592468079748110E-3
79.000000000000028E+0	999.782294383276260E-3
80.000000000000028E+0	998.727489956699800E-3
81.000000000000028E+0	998.761834961758740E-3
82.000000000000028E+0	999.776926323869610E-3
83.000000000000028E+0	999.715709431604260E-3
84.000000000000028E+0	999.444448757168090E-3
85.000000000000028E+0	997.947363076782890E-3
86.000000000000028E+0	996.451093328721950E-3
87.000000000000028E+0	992.845483620649950E-3
88.000000000000028E+0	998.944502441066580E-3
89.000000000000028E+0	998.854207285605370E-3
90.000000000000028E+0	964.967194375402680E-3
91.000000000000028E+0	996.336603027581540E-3
92.000000000000028E+0	997.123670977243640E-3
93.000000000000028E+0	997.501635665774430E-3
94.000000000000028E+0	998.061166175565280E-3
95.000000000000028E+0	987.975350823156790E-3
96.000000000000028E+0	992.506640922363620E-3
97.000000000000028E+0	999.490790657866830E-3
98.000000000000028E+0	999.135022545047600E-3
99.000000000000028E+0	995.646510739155000E-3
100.000000000000030E+0	998.640253787184130E-3
101.000000000000030E+0	999.815241799163920E-3
102.000000000000030E+0	999.436089236970800E-3
103.000000000000030E+0	995.155268641469190E-3
104.000000000000030E+0	999.117410407760920E-3
105.000000000000030E+0	990.761671326655930E-3
106.000000000000030E+0	998.495593544796000E-3
107.000000000000030E+0	999.297171157650710E-3
108.000000000000030E+0	997.923081835758060E-3
109.000000000000030E+0	776.103208210596750E-3
110.000000000000030E+0	996.010072348964880E-3
111.000000000000030E+0	999.243318096114880E-3
112.000000000000030E+0	998.783137105042520E-3
113.000000000000030E+0	999.221659561848050E-3
114.000000000000030E+0	997.870847048644820E-3
115.000000000000030E+0	998.016238847114430E-3
116.000000000000030E+0	998.560868668258330E-3
117.000000000000030E+0	999.651497593968650E-3
118.000000000000030E+0	999.719000548026760E-3
119.000000000000030E+0	994.798267325157970E-3
120.000000000000030E+0	999.596821566412830E-3
121.000000000000030E+0	999.847575240904060E-3
122.000000000000030E+0	999.707413311950680E-3
123.000000000000030E+0	999.893053590065190E-3
124.000000000000030E+0	999.859905404730580E-3
125.000000000000030E+0	999.856008745522160E-3
126.000000000000030E+0	999.839365268457620E-3
127.000000000000030E+0	999.684216991998160E-3
128.000000000000030E+0	998.884720110999270E-3
129.000000000000030E+0	999.865443889787040E-3
130.000000000000030E+0	999.846797473502140E-3
131.000000000000030E+0	999.795380757377170E-3
132.000000000000030E+0	997.951340401153070E-3
133.000000000000030E+0	999.390761931914560E-3
134.000000000000030E+0	999.349378080616750E-3
135.000000000000030E+0	999.545307760243750E-3
136.000000000000030E+0	999.710462228726730E-3
137.000000000000030E+0	999.525962990862160E-3
138.000000000000030E+0	999.547639479721580E-3
139.000000000000030E+0	999.896858340496240E-3
140.000000000000030E+0	999.799015074552820E-3
141.000000000000030E+0	999.515598187110440E-3
142.000000000000030E+0	999.503653301424210E-3
143.000000000000030E+0	999.798682006425300E-3
144.000000000000030E+0	999.838552149184380E-3
145.000000000000030E+0	999.745724247216420E-3
146.000000000000030E+0	999.652813706438880E-3
147.000000000000030E+0	997.917987373879820E-3
148.000000000000030E+0	998.653031563819460E-3
149.000000000000030E+0	998.946398328612540E-3
150.000000000000030E+0	987.323254703304180E-3
151.000000000000030E+0	994.642469212993600E-3
152.000000000000030E+0	998.994493985522310E-3
153.000000000000030E+0	999.028105488166780E-3
154.000000000000030E+0	999.341726844978350E-3
155.000000000000030E+0	999.237358096756400E-3
156.000000000000030E+0	998.867523288307080E-3
157.000000000000030E+0	999.441082094282730E-3
158.000000000000030E+0	999.496199661497280E-3
159.000000000000030E+0	998.782641877700490E-3
160.000000000000030E+0	997.674862891209320E-3
161.000000000000030E+0	938.509343224401830E-3
162.000000000000030E+0	996.782490945181450E-3
163.000000000000030E+0	993.515104796719450E-3
164.000000000000030E+0	997.584332275837200E-3
165.000000000000030E+0	997.397364710157500E-3
166.000000000000030E+0	998.982431568867230E-3
167.000000000000030E+0	999.599827886401670E-3
168.000000000000030E+0	999.377176580474310E-3
169.000000000000030E+0	998.006547505140620E-3
170.000000000000030E+0	996.212291346101670E-3
171.000000000000030E+0	997.767778281912320E-3
172.000000000000030E+0	997.592776912109790E-3
173.000000000000030E+0	996.972250658566980E-3
174.000000000000030E+0	997.792341935183620E-3
175.000000000000030E+0	998.528584635054560E-3
176.000000000000030E+0	999.481456743345100E-3
177.000000000000030E+0	999.075787390052210E-3
178.000000000000030E+0	998.493946999900350E-3
179.000000000000030E+0	951.519218937846860E-3
180.000000000000030E+0	998.281210423933920E-3
181.000000000000030E+0	998.934378572001510E-3
182.000000000000030E+0	996.248875216630860E-3
183.000000000000030E+0	995.870000535346020E-3
184.000000000000030E+0	995.536711012009910E-3
185.000000000000030E+0	998.883357940630430E-3
186.000000000000030E+0	999.460068446704990E-3
187.000000000000030E+0	999.501185905039110E-3
188.000000000000030E+0	997.566575828031880E-3
189.000000000000030E+0	995.684455667405930E-3
190.000000000000030E+0	999.110096535001160E-3
191.000000000000030E+0	998.673630931523950E-3
192.000000000000030E+0	996.061899761945920E-3
193.000000000000030E+0	998.215364119508840E-3
194.000000000000030E+0	999.403512101461940E-3
195.000000000000030E+0	998.741773151990970E-3
196.000000000000030E+0	997.085045570033190E-3
197.000000000000030E+0	998.069908573338880E-3
198.000000000000030E+0	989.460734018976610E-3
199.000000000000030E+0	998.333332012108050E-3
200.000000000000030E+0	999.742041062189780E-3
201.000000000000030E+0	999.140161253632470E-3
202.000000000000030E+0	997.586229647865140E-3
203.000000000000030E+0	996.199097209506940E-3
204.000000000000030E+0	998.664306960062700E-3
205.000000000000030E+0	998.991022708076050E-3
206.000000000000030E+0	998.255295216236790E-3
207.000000000000030E+0	988.605371577396920E-3
208.000000000000030E+0	998.442747184893450E-3
209.000000000000030E+0	999.091260264998280E-3
210.000000000000030E+0	993.572078663987780E-3
211.000000000000030E+0	967.547256485520200E-3
212.000000000000030E+0	993.550020224631240E-3
213.000000000000030E+0	983.288031983083790E-3
214.000000000000030E+0	915.738851784510090E-3
215.000000000000030E+0	994.757659429387990E-3
216.000000000000030E+0	994.341483332063510E-3
217.000000000000030E+0	957.029982910604150E-3
218.000000000000030E+0	971.254801888155380E-3
219.000000000000030E+0	997.298013974241110E-3
220.000000000000030E+0	998.210072337049950E-3
221.000000000000030E+0	997.722287290283120E-3
222.000000000000030E+0	997.409998619194440E-3
223.000000000000030E+0	998.146162652986280E-3
224.000000000000030E+0	992.592485031193460E-3
225.000000000000030E+0	997.777146157638460E-3
226.000000000000030E+0	997.395968288023130E-3
227.000000000000030E+0	995.813799058252620E-3
228.000000000000030E+0	995.782257978283900E-3
229.000000000000030E+0	995.489867768374340E-3
230.000000000000030E+0	990.705957196170380E-3
231.000000000000030E+0	996.380799480097830E-3
232.000000000000030E+0	997.743204923257740E-3
233.000000000000030E+0	998.181436954980290E-3
234.000000000000030E+0	996.790306259313970E-3
235.000000000000030E+0	992.226498271468360E-3
236.000000000000030E+0	995.470139751951090E-3
237.000000000000030E+0	997.777992402224530E-3
238.000000000000030E+0	998.466378930562780E-3
239.000000000000030E+0	997.627085460646600E-3
240.000000000000030E+0	992.324813238401710E-3
241.000000000000030E+0	996.704303647720560E-3
242.000000000000030E+0	996.841882569728390E-3
243.000000000000030E+0	996.469942147413250E-3
244.000000000000030E+0	997.542704183890020E-3
245.000000000000030E+0	995.176849622409820E-3
246.000000000000030E+0	994.034805982723980E-3
247.000000000000030E+0	997.464775267611460E-3
248.000000000000030E+0	998.128698929344300E-3
249.000000000000030E+0	998.674496862500540E-3
250.000000000000030E+0	997.134995094090090E-3
251.000000000000030E+0	994.889457385338960E-3
252.000000000000030E+0	983.015099006204430E-3
253.000000000000030E+0	898.735068749796470E-3
254.000000000000030E+0	734.779339966507790E-3
255.000000000000030E+0	984.732791722310980E-3
256.000000000000060E+0	995.264354968151800E-3
257.000000000000060E+0	997.364220733772400E-3
258.000000000000060E+0	996.000648475669710E-3
259.000000000000060E+0	998.028387667127650E-3
260.000000000000060E+0	999.034345908807460E-3
261.000000000000060E+0	998.329496623794110E-3
262.000000000000060E+0	994.282716690972230E-3
263.000000000000060E+0	981.031900752508010E-3
264.000000000000060E+0	995.307948916265390E-3
265.000000000000060E+0	997.519086783965610E-3
266.000000000000060E+0	997.989127444634640E-3
267.000000000000060E+0	997.282801925610700E-3
268.000000000000060E+0	996.654548699338450E-3
269.000000000000060E+0	998.973633562003080E-3
270.000000000000060E+0	999.084675146595600E-3
271.000000000000060E+0	997.223357907600190E-3
272.000000000000060E+0	994.536417007325650E-3
273.000000000000060E+0	997.752638348763930E-3
274.000000000000060E+0	997.141937456736400E-3
275.000000000000060E+0	997.093256350381930E-3
276.000000000000060E+0	998.290274211256050E-3
277.000000000000060E+0	990.760544873939830E-3
278.000000000000060E+0	998.077470255997690E-3
279.000000000000060E+0	998.696637039899750E-3
280.000000000000060E+0	996.609169193151900E-3
281.000000000000060E+0	987.055215845625830E-3
282.000000000000060E+0	987.887129770062880E-3
283.000000000000060E+0	997.526896851951730E-3
284.000000000000060E+0	995.880828723177180E-3
285.000000000000060E+0	996.418862929449370E-3
286.000000000000060E+0	996.339060862906690E-3
287.000000000000060E+0	988.978104384612750E-3
288.000000000000060E+0	997.802889582062310E-3
289.000000000000060E+0	997.605356891440140E-3
290.000000000000060E+0	991.334833923907420E-3
291.000000000000060E+0	994.942098189886660E-3
292.000000000000060E+0	997.265368845437700E-3
293.000000000000060E+0	996.590367178366350E-3
294.000000000000060E+0	995.557130268448280E-3
295.000000000000060E+0	995.545752947180950E-3
296.000000000000060E+0	989.002076688140220E-3
297.000000000000060E+0	991.572539618834850E-3
298.000000000000060E+0	997.309944860900190E-3
299.000000000000060E+0	996.880497261986130E-3
300.000000000000060E+0	993.044578370347540E-3
301.000000000000060E+0	994.379367662260980E-3
302.000000000000060E+0	997.781703853295680E-3
303.000000000000060E+0	994.090171152252180E-3
304.000000000000060E+0	996.189018563055190E-3
305.000000000000060E+0	994.429071433230560E-3
306.000000000000060E+0	995.728456089463140E-3
307.000000000000060E+0	997.776061935403470E-3
308.000000000000060E+0	996.891042455185340E-3
309.000000000000060E+0	994.129730202460980E-3
310.000000000000060E+0	995.390608349795200E-3
311.000000000000060E+0	997.552647372940910E-3
312.000000000000060E+0	996.247123248464760E-3
313.000000000000060E+0	992.906018106632590E-3
314.000000000000060E+0	995.623190302836750E-3
315.000000000000060E+0	995.649328190879370E-3
316.000000000000060E+0	994.382607417393590E-3
317.000000000000060E+0	995.858344633458900E-3
318.000000000000060E+0	995.768796899366930E-3
319.000000000000060E+0	983.109148173542670E-3
320.000000000000060E+0	997.077726336201950E-3
