Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	10.137202848198168E-3	160.935425203465150E-3
11.000000000000021E+0	1.929173270922628E-3	350.137554264641490E-3
12.000000000000023E+0	1.617242361405042E-3	933.529018667233810E-3
13.000000000000025E+0	1.202045732003402E-3	955.176370149044880E-3
14.000000000000027E+0	6.068101901087038E-3	1.878021319564510E+0
15.000000000000028E+0	4.996208837990191E-3	2.450782672441741E+0
16.000000000000032E+0	920.677375695955850E-6	3.076572768601472E+0
17.000000000000036E+0	19.371279648578106E-3	4.458506109744572E+0
18.000000000000039E+0	12.835250859172401E-3	4.650316977815271E+0
19.000000000000043E+0	18.100705628426243E-3	4.910263984023756E+0
20.000000000000046E+0	43.751579770036735E-3	6.211551274919602E+0
21.000000000000050E+0	57.808411756106057E-3	8.167902502749815E+0
22.000000000000053E+0	73.062098060403563E-3	9.249119403850498E+0
23.000000000000057E+0	148.865420213461330E-3	10.701231350009447E+0
24.000000000000060E+0	304.682963532929400E-3	16.732357129602150E+0
25.000000000000064E+0	850.368825268499110E-3	23.789808601018485E+0
26.000000000000067E+0	1.914716428134887E+0	40.328446308530701E+0
27.000000000000071E+0	986.821763942558940E-3	31.746505636244727E+0
28.000000000000075E+0	716.923741354628440E-3	30.208945488027155E+0
29.000000000000078E+0	229.642560819298760E-3	17.854162179122767E+0
30.000000000000082E+0	866.601739985269680E-3	14.710987298873226E+0
31.000000000000085E+0	3.007245358200322E+0	22.568170684533506E+0
32.000000000000085E+0	2.820306946824614E+0	28.383902504169686E+0
33.000000000000085E+0	2.342421407492524E+0	28.289086884798685E+0
34.000000000000085E+0	1.347971530943739E+0	17.771628534898021E+0
35.000000000000085E+0	2.503172622639059E+0	14.218758760126551E+0
36.000000000000085E+0	4.707901041187515E+0	34.895348005512922E+0
37.000000000000085E+0	648.760560656203240E-3	54.693598815023733E+0
38.000000000000085E+0	605.681799850972810E-3	38.198588186392101E+0
39.000000000000085E+0	343.737146211821610E-3	16.046747063459932E+0
40.000000000000085E+0	349.029633931381870E-3	31.763360519626712E+0
41.000000000000085E+0	1.909687731741289E+0	72.133391241467308E+0
42.000000000000085E+0	2.761564320984298E+0	61.966152723859508E+0
43.000000000000085E+0	1.061364306167304E+0	28.426998971577017E+0
44.000000000000085E+0	759.984153556347740E-3	17.754886708446939E+0
45.000000000000085E+0	2.403724003674715E+0	45.413049375149647E+0
46.000000000000085E+0	4.208289935283039E+0	76.259776441637939E+0
47.000000000000085E+0	4.244623122130172E+0	68.644625156231015E+0
48.000000000000085E+0	2.108277404513598E+0	27.767503365540232E+0
49.000000000000085E+0	1.882487244470039E+0	28.473756360450558E+0
50.000000000000085E+0	4.652347012148780E+0	92.385539105558209E+0
51.000000000000085E+0	4.562385962556175E+0	122.321651204579960E+0
52.000000000000085E+0	1.417483107841649E+0	67.794404282002986E+0
53.000000000000085E+0	251.667538276897080E-3	33.460740497923688E+0
54.000000000000085E+0	490.474654483046110E-3	75.552080792680115E+0
55.000000000000085E+0	1.521349971876442E+0	101.011371706449240E+0
56.000000000000085E+0	1.970339464362066E+0	102.284892374050240E+0
57.000000000000085E+0	2.639748451550201E+0	66.709024738577241E+0
58.000000000000085E+0	2.112170289919404E+0	20.441266175464268E+0
59.000000000000085E+0	4.686600439614161E+0	107.458355532730560E+0
60.000000000000085E+0	12.159542244439299E+0	209.510087255797170E+0
61.000000000000085E+0	11.558860979004534E+0	123.885784066226700E+0
62.000000000000085E+0	8.342209677700950E+0	45.890981478508777E+0
63.000000000000085E+0	16.631221630933858E+0	158.594831225405040E+0
64.000000000000085E+0	20.801189550372598E+0	228.378095153261310E+0
65.000000000000085E+0	23.248288745655781E+0	303.405278890830740E+0
66.000000000000085E+0	16.447887672007958E+0	320.573742960872890E+0
67.000000000000085E+0	2.389925836958493E+0	99.615682820825754E+0
68.000000000000085E+0	3.998500692442633E+0	113.743656470617990E+0
69.000000000000085E+0	7.383287339202018E+0	345.747736395440140E+0
70.000000000000085E+0	4.816120880595084E+0	350.439334091148450E+0
71.000000000000085E+0	3.272188274422500E+0	128.954844234590750E+0
72.000000000000085E+0	1.740721020666575E+0	116.786492925442330E+0
73.000000000000085E+0	7.087281764727402E+0	275.437681191819590E+0
74.000000000000085E+0	13.513322565047565E+0	304.925720000091760E+0
75.000000000000085E+0	12.344566467547882E+0	306.116284349152010E+0
76.000000000000085E+0	6.494533176380202E+0	240.898686918122000E+0
77.000000000000085E+0	6.469409281822189E+0	121.740284693773590E+0
78.000000000000085E+0	18.428264233129692E+0	458.630591279253280E+0
79.000000000000085E+0	12.290562092037497E+0	476.869532070166600E+0
80.000000000000085E+0	1.190568628756836E+0	128.948721618260290E+0
81.000000000000085E+0	826.826320693069940E-3	72.495605341600154E+0
82.000000000000085E+0	2.321693530011010E+0	161.139200948319600E+0
83.000000000000085E+0	3.240100041138910E+0	227.209588733104450E+0
84.000000000000085E+0	1.249371062300882E+0	137.808468299667450E+0
85.000000000000085E+0	273.780971128857580E-3	54.203104055371170E+0
86.000000000000085E+0	298.536629034119980E-3	39.194750475321385E+0
87.000000000000085E+0	108.079390147170800E-3	49.923601132608383E+0
88.000000000000085E+0	368.007412495355850E-3	227.189997323306760E+0
89.000000000000085E+0	404.994218281759350E-3	172.688676451798360E+0
90.000000000000085E+0	116.630412489531360E-3	3.313590081709257E+0
91.000000000000085E+0	39.056956466287429E-3	68.851434426282964E+0
92.000000000000085E+0	209.938491430016360E-3	103.575198366219570E+0
93.000000000000085E+0	53.304778910875948E-3	60.782844824474260E+0
94.000000000000085E+0	30.372958210969192E-3	50.665132823121880E+0
95.000000000000085E+0	31.497424266412492E-3	25.554175605230419E+0
96.000000000000085E+0	46.913597163116993E-3	26.415045679327374E+0
97.000000000000085E+0	132.073322461450040E-3	103.859786549195590E+0
98.000000000000085E+0	50.520744400161965E-3	97.557844942364639E+0
99.000000000000085E+0	10.732511262010472E-3	36.978523059505775E+0
