Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
50.000000000000028E+0	845.775178825010520E-3	23.591627309709995E+0
51.000000000000028E+0	299.419366804690720E-3	21.301211246069247E+0
52.000000000000028E+0	272.122486189250670E-3	22.635855849334973E+0
53.000000000000028E+0	181.795748559674450E-3	24.375329126727230E+0
54.000000000000028E+0	187.522024721306250E-3	25.291719738684801E+0
55.000000000000028E+0	150.025113189000030E-3	26.768357317095354E+0
56.000000000000028E+0	130.181569065444510E-3	28.633898044555494E+0
57.000000000000028E+0	202.360948388293550E-3	30.762023694678025E+0
58.000000000000028E+0	170.110802594149710E-3	31.098435046879715E+0
59.000000000000028E+0	105.154052366008120E-3	32.795993107203252E+0
60.000000000000028E+0	745.915675217987960E-3	31.576914633183630E+0
61.000000000000028E+0	84.652908866279325E-3	33.153819985398975E+0
62.000000000000028E+0	76.265765062922347E-3	35.495643021227004E+0
63.000000000000028E+0	122.248858282442560E-3	38.100913476147859E+0
64.000000000000028E+0	82.880595780835231E-3	38.780457082564673E+0
65.000000000000028E+0	89.279640743375285E-3	40.364505645038079E+0
66.000000000000028E+0	388.893860034662250E-3	41.849835035647970E+0
67.000000000000028E+0	96.916076094006418E-3	39.315653352537382E+0
68.000000000000028E+0	101.008840029273850E-3	38.569527714707767E+0
69.000000000000028E+0	73.463629897864438E-3	40.092250122597584E+0
70.000000000000028E+0	67.789615556456170E-3	40.604749960497514E+0
71.000000000000028E+0	70.516922215381000E-3	39.074800185518100E+0
72.000000000000028E+0	41.824049592868145E-3	38.957632208234635E+0
73.000000000000028E+0	44.794329622118545E-3	39.957006553833345E+0
74.000000000000028E+0	37.349305784578686E-3	40.413442642707437E+0
75.000000000000028E+0	27.555113231091166E-3	39.458844885453814E+0
76.000000000000028E+0	86.961290669111360E-3	39.399563740331374E+0
77.000000000000028E+0	109.857017735870090E-3	39.446123278600162E+0
78.000000000000028E+0	63.936911122521256E-3	40.628498865259850E+0
79.000000000000028E+0	59.806672894533820E-3	38.642383536846694E+0
80.000000000000028E+0	62.052428383325336E-3	39.148717857982412E+0
81.000000000000028E+0	45.897164333946056E-3	39.714881420590672E+0
82.000000000000028E+0	44.222019160363585E-3	39.022125323974883E+0
83.000000000000028E+0	50.809463833133249E-3	39.239481998197448E+0
84.000000000000028E+0	58.292151737008968E-3	39.345237053567430E+0
85.000000000000028E+0	100.653461230098380E-3	39.099702955892852E+0
86.000000000000028E+0	87.561249241260936E-3	39.355718421836769E+0
87.000000000000028E+0	139.826126714169440E-3	39.645349655673904E+0
88.000000000000028E+0	105.819942613913770E-3	38.898262125913682E+0
89.000000000000028E+0	125.681390140684860E-3	38.477665612748822E+0
90.000000000000028E+0	102.356018896725520E-3	38.743437104017921E+0
