Reflectivity signal measured in H2O ice compressed at 84 GPa
Measurement conducted by Sergey Nikitin in May 2014
Time (ns)	Amplitude (V)
-2.647324e-01 	 6.333700e-05
-2.636901e-01 	 6.337900e-05
-2.626479e-01 	 6.339800e-05
-2.616056e-01 	 6.337100e-05
-2.605634e-01 	 6.342400e-05
-2.595211e-01 	 6.342000e-05
-2.584789e-01 	 6.340400e-05
-2.574366e-01 	 6.341400e-05
-2.563944e-01 	 6.342200e-05
-2.553521e-01 	 6.337700e-05
-2.543099e-01 	 6.336900e-05
-2.532676e-01 	 6.340300e-05
-2.522254e-01 	 6.340800e-05
-2.511831e-01 	 6.334900e-05
-2.501409e-01 	 6.331500e-05
-2.490986e-01 	 6.329200e-05
-2.480563e-01 	 6.327100e-05
-2.470141e-01 	 6.329600e-05
-2.459718e-01 	 6.334800e-05
-2.449296e-01 	 6.333800e-05
-2.438873e-01 	 6.333200e-05
-2.428451e-01 	 6.333000e-05
-2.418028e-01 	 6.335400e-05
-2.407606e-01 	 6.331600e-05
-2.397183e-01 	 6.333500e-05
-2.386761e-01 	 6.335600e-05
-2.376338e-01 	 6.339100e-05
-2.365916e-01 	 6.333200e-05
-2.355493e-01 	 6.333300e-05
-2.345070e-01 	 6.338200e-05
-2.334648e-01 	 6.337500e-05
-2.324225e-01 	 6.338200e-05
-2.313803e-01 	 6.341100e-05
-2.303380e-01 	 6.340900e-05
-2.292958e-01 	 6.340300e-05
-2.282535e-01 	 6.342800e-05
-2.272113e-01 	 6.337200e-05
-2.261690e-01 	 6.342100e-05
-2.251268e-01 	 6.338000e-05
-2.240845e-01 	 6.333800e-05
-2.230423e-01 	 6.332900e-05
-2.220000e-01 	 6.336400e-05
-2.209578e-01 	 6.339200e-05
-2.199155e-01 	 6.339900e-05
-2.188732e-01 	 6.331500e-05
-2.178310e-01 	 6.331500e-05
-2.167887e-01 	 6.329200e-05
-2.157465e-01 	 6.329400e-05
-2.147042e-01 	 6.323900e-05
-2.136620e-01 	 6.325000e-05
-2.126197e-01 	 6.324100e-05
-2.115775e-01 	 6.326300e-05
-2.105352e-01 	 6.325400e-05
-2.094930e-01 	 6.327100e-05
-2.084507e-01 	 6.331900e-05
-2.074085e-01 	 6.330300e-05
-2.063662e-01 	 6.324900e-05
-2.053239e-01 	 6.326400e-05
-2.042817e-01 	 6.327300e-05
-2.032394e-01 	 6.325400e-05
-2.021972e-01 	 6.329300e-05
-2.011549e-01 	 6.328300e-05
-2.001127e-01 	 6.328700e-05
-1.990704e-01 	 6.323400e-05
-1.980282e-01 	 6.319400e-05
-1.969859e-01 	 6.317300e-05
-1.959437e-01 	 6.319700e-05
-1.949014e-01 	 6.317500e-05
-1.938592e-01 	 6.318000e-05
-1.928169e-01 	 6.317700e-05
-1.917747e-01 	 6.319500e-05
-1.907324e-01 	 6.313900e-05
-1.896901e-01 	 6.314200e-05
-1.886479e-01 	 6.314500e-05
-1.876056e-01 	 6.316600e-05
-1.865634e-01 	 6.323300e-05
-1.855211e-01 	 6.321700e-05
-1.844789e-01 	 6.324000e-05
-1.834366e-01 	 6.322900e-05
-1.823944e-01 	 6.318600e-05
-1.813521e-01 	 6.317100e-05
-1.803099e-01 	 6.318000e-05
-1.792676e-01 	 6.320200e-05
-1.782254e-01 	 6.313900e-05
-1.771831e-01 	 6.316400e-05
-1.761409e-01 	 6.319500e-05
-1.750986e-01 	 6.314700e-05
-1.740563e-01 	 6.315800e-05
-1.730141e-01 	 6.313100e-05
-1.719718e-01 	 6.319100e-05
-1.709296e-01 	 6.320700e-05
-1.698873e-01 	 6.319800e-05
-1.688451e-01 	 6.315500e-05
-1.678028e-01 	 6.313900e-05
-1.667606e-01 	 6.317500e-05
-1.657183e-01 	 6.319100e-05
-1.646761e-01 	 6.321500e-05
-1.636338e-01 	 6.319000e-05
-1.625916e-01 	 6.315100e-05
-1.615493e-01 	 6.319900e-05
-1.605070e-01 	 6.317800e-05
-1.594648e-01 	 6.315300e-05
-1.584225e-01 	 6.315800e-05
-1.573803e-01 	 6.318200e-05
-1.563380e-01 	 6.314600e-05
-1.552958e-01 	 6.315000e-05
-1.542535e-01 	 6.318400e-05
-1.532113e-01 	 6.319000e-05
-1.521690e-01 	 6.324600e-05
-1.511268e-01 	 6.323700e-05
-1.500845e-01 	 6.322200e-05
-1.490423e-01 	 6.324200e-05
-1.480000e-01 	 6.322700e-05
-1.469578e-01 	 6.321600e-05
-1.459155e-01 	 6.321000e-05
-1.448732e-01 	 6.318400e-05
-1.438310e-01 	 6.319000e-05
-1.427887e-01 	 6.317600e-05
-1.417465e-01 	 6.317400e-05
-1.407042e-01 	 6.319400e-05
-1.396620e-01 	 6.318100e-05
-1.386197e-01 	 6.313400e-05
-1.375775e-01 	 6.315800e-05
-1.365352e-01 	 6.316900e-05
-1.354930e-01 	 6.315500e-05
-1.344507e-01 	 6.313100e-05
-1.334085e-01 	 6.310900e-05
-1.323662e-01 	 6.309300e-05
-1.313239e-01 	 6.307600e-05
-1.302817e-01 	 6.308400e-05
-1.292394e-01 	 6.309800e-05
-1.281972e-01 	 6.308400e-05
-1.271549e-01 	 6.310800e-05
-1.261127e-01 	 6.310000e-05
-1.250704e-01 	 6.309300e-05
-1.240282e-01 	 6.313900e-05
-1.229859e-01 	 6.314500e-05
-1.219437e-01 	 6.308700e-05
-1.209014e-01 	 6.307900e-05
-1.198592e-01 	 6.311400e-05
-1.188169e-01 	 6.307800e-05
-1.177747e-01 	 6.307500e-05
-1.167324e-01 	 6.304700e-05
-1.156901e-01 	 6.305500e-05
-1.146479e-01 	 6.302700e-05
-1.136056e-01 	 6.301100e-05
-1.125634e-01 	 6.296300e-05
-1.115211e-01 	 6.302100e-05
-1.104789e-01 	 6.302000e-05
-1.094366e-01 	 6.303800e-05
-1.083944e-01 	 6.302200e-05
-1.073521e-01 	 6.300400e-05
-1.063099e-01 	 6.298000e-05
